,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
0,中国国家博物馆,钱江晚报,直击人心的《等你凯旋》!浙商职院老师作品被中国国家博物馆永久收藏,近日，浙江商业职业技术学院艺术设计学院商亚东老师收到了中国国家博物馆寄来的收藏证书，其油画作品《等你凯旋》在中国国家博物馆展出后，经专家评审，被该馆永久收藏。油画《等你凯旋》的创作灵感源于2020年1月，浙江首批紧急医疗队从...,https://baijiahao.baidu.com/s?id=1698804249066367532&wfr=spider&for=pc,"('7天前', 168)"
1,中国国家博物馆,中国新闻网,北京:市民在中国国家博物馆乐享周末休闲时光,"5月9日,北京,市民在中国国家博物馆参观展出的字画。(来源:中新社 摄影:田雨昊) 【编辑:刘文曦】中国新闻社北京分社版权所有::刊用本网站稿件,务经书面授权 主办单位:中国新闻社北京分社 地址:北京市西城区百万庄南街12号 邮编:1000...",http://www.bj.chinanews.com/news/2021/0510/81873.html,"('昨天09:14', 24)"
2,中国国家博物馆,腾讯网,"泱泱华夏,巍巍中华!走近【国家博物馆】我们从小读文化课","一、关于中国国家博物馆 我们现在所参观的 位于天安门广场东侧的 国博新馆,于2011年3月建成开放,用地面积7万平方米,地上5层,地下2层,展厅48个,藏品100余万件,是世界上单体建筑面积最大的博物馆,是中华文物收藏量最丰富的博物馆之一...",https://new.qq.com/omn/20210506/20210506A0DLE400.html,"('5天前', 120)"
3,中国国家博物馆,央视新闻,中国国家博物馆:假期正常开放 推出26项展览,"五一假期将至,中国国家博物馆对外发布,假期期间正常开放,将推出26项展览,每天预约人数上限为15000人。 02:09 中国国家博物馆5月1日至5月5日正常开放。开馆时间为9时,停止入馆时间为16时,闭馆时间为17时。共有26个展览为观众开放参观...",https://baijiahao.baidu.com/s?id=1698459100958983965&wfr=spider&for=pc,"('4月30日', 720)"
4,中国国家博物馆,中国青年网,在国家博物馆讲述“真理的味道”,新华社北京5月3日电 在中国国家博物馆的“复兴之路”基本陈列展厅内，有这样一本书，它的封皮有些褪色，参观者甚至都不会注意到它，但它对马克思主义在中国的早期传播起了非常重要的作用。这本书就是1920年8月上海共产党早期组织出版...,https://baijiahao.baidu.com/s?id=1698728067575511497&wfr=spider&for=pc,"('8天前', 192)"
5,中国国家博物馆,雅昌新闻,"精进之心,跨界之道——设计达人肖继平作品被中国国家博物馆永久收藏","好作品自然脱颖而出,肖继平接下来收到了中国美协发出的参展邀请,这个展览是由中国国家博物馆、中国美术家协会、中国书法家协会联合,在中国国家博物馆举办的《众志成城——抗疫主题美术作品展》,三大最顶级的权威组织在七万多件优秀应征...",https://news.artron.net/20210510/n1095112.html,"('昨天14:51', 24)"
6,中国国家博物馆,金融网,新绿色药业25件抗疫实物被中国国家博物馆收藏!,"1月27日,四川新绿色药业科技发展有限公司(简称新绿色药业)收到中国国家博物馆颁发的捐赠证书。见证新绿色药业深度参与全民抗疫行动的“流动应急智能中药房”模型等25件/套代表性实物,被中国国家博物馆永久收藏。 ",http://www.financeun.com/newsDetail/42150.shtml,"('昨天16:33', 24)"
7,中国国家博物馆,本地宝,4月26日至30日中国国家博物馆近期展览汇总,"【导语】:2021年4月26日至30日国家博物馆展览信息出炉,包括古代中国等基本陈列展、国色初光—甘肃彩陶艺术等专题展览,月球样品001号·见证中华飞天梦等临时展览,还有科学技术与工业展即将开展的展览。 ",http://bj.bendibao.com/news/2009526/291897.shtm,"('4月27日', 720)"
8,中国国家博物馆,网易,国家博物馆藏元代青花瓷,"中国国家博物馆,简称国博,位于北京市中心天安门广场东侧,东长安街南侧,与人民大会堂东西相对称,是历史与艺术并重,集收藏、展览、研究、考古、公共教育、文化交流于一体的综合性博物馆。由于只是展览的一些瓷器,量太少,所以翻来覆去的拍,...",https://www.163.com/dy/article/G98UJI2T0537FKU8.html,"('6天前', 144)"
9,中国国家博物馆,网易,...系列展览之“中国民间表现主义·王辅民艺术展”在中国国家画院...,"中国国家博物馆副馆长刘万鸣: 与辅民先生相交甚久,他的画有一个主要特征是作为中国人物画家,他特别巧妙地把民间艺术的造型、色彩等元素融入到水墨画当中。他画面中的一些造型都和民间相关,作品的内容都是反映民间的。他把民间的东西跟...",https://www.163.com/dy/article/G9ALEFPQ0514FHED.html,"('5天前', 120)"
10,中国国家博物馆,中国青年报,港珠澳大桥海关青年突击队队旗被中国国家博物馆收藏,近日，广东珠海拱北海关团委港珠澳大桥海关疫情防控青年突击队队旗被中国国家博物馆永久收藏。2020年新冠肺炎疫情时期，口岸现场的海关卫生检疫岗，风险高，压力大，拱北海关团委迅速组织成立多支青年突击队，驰援口岸卫生检疫岗。“青年突击队...,https://baijiahao.baidu.com/s?id=1697886616407324498&wfr=spider&for=pc,"('4月24日', 720)"
11,中国国家博物馆,腾讯网,"国内排名前几的几大博物馆推荐,喜欢历史文化的朋友收藏吧","北京故宫博物院,紫禁城,皇家宫殿,国家5A级旅游景点,世界五大宫之首,世界文化遗产。建立于1925年10月10日,位于北京故宫紫禁城内。是在明朝、清朝两代皇宫及其收藏的基础上建立起来的中国综合性博物馆,也是中国比较大的古代文化艺术博物馆,其...",https://xw.qq.com/cmsid/20210415A0BAK100,"('4月23日', 720)"
12,中国国家博物馆,本地宝,2021年中国国家博物馆五一展览汇总(长期展览+临时展览),"【导语】:五一劳动节即将到来,国家博物馆五一期间实行全员实名预约参观机制,每天预约人数是15000人。观众需提前预约入馆时出示实时健康码,参观中全程正确佩戴口罩。 2021年中国国家博物馆五一展览汇总(长期展览+临时展览)长期...",http://bj.bendibao.com/news/2021430/292124.shtm,"('4月30日', 720)"
13,中国国家博物馆,潇湘晨报,高台“地下画廊”将亮相国家博物馆,据兰州晚报报道（记者 高宏梅）为贯彻落实“一带一路”倡议，依托国家博物馆重要平台展示河西特色文物，扩大河西历史文化影响力，5月15日至8月15日，高台县博物馆精选了一批具有代表性的文物，在中国国家博物馆参与举办“竞为华观——...,https://baijiahao.baidu.com/s?id=1699155477515134965&wfr=spider&for=pc,"('3天前', 72)"
14,中国国家博物馆,长江日报,中国国家博物馆考古院院长、研究馆员戴向明:三星堆文化属于“中国...,"戴向明:我去年才到三星堆博物馆现场参观过,至今印象深刻。 首先说考古文物。从三星堆遗址考古发现的文物可以看到,三星堆文化与中原地区、长江流域同时期的其他文化有很大的不同,比如它的青铜人面像、人头像、立人像、神树和一些青铜鸟兽...",https://baijiahao.baidu.com/s?id=1698145021109107424&wfr=spider&for=pc,"('4月27日', 720)"
15,中国国家博物馆,科技生活快报,美国是世界上博物馆最多的国家 中国的博物馆吸引最多的游客,参观人数最多的博物馆是位于法国巴黎的罗浮宫，每年就吸引900多万名游客参观。虽然中国的博物馆数量在世界上排名第15位，但该研究指出，中国的博物馆吸引最多的游客。此外，世界上参观人数第二多的博物馆是在北京的中国国家博物馆。,https://baijiahao.baidu.com/s?id=1698007191056801971&wfr=spider&for=pc,"('4月25日', 720)"
16,中国国家博物馆,羊城派,拱北海关四件疫情防控见证物被中国国家博物馆收藏,文/羊城晚报全媒体记者 钱瑜 通讯员 袁文立 俞波 拱宣 近日，拱北海关选送的四件疫情防控见证物被中国国家博物馆正式收藏。四件见证物分别为拱北海关团委港珠澳大桥海关青年突击队队旗、第一票经港珠澳大桥口岸出口香港用于建设紧急隔离...,https://baijiahao.baidu.com/s?id=1696847879505874471&wfr=spider&for=pc,"('4月12日', 720)"
17,中国国家博物馆,中国江苏网,...八省市15位画家创作的《中国大运河史诗图卷》走进国家博物馆,北京，大运河漕运的终点；江苏，中国大运河的起源地。4月10日，江苏省文旅厅组织创作的《中国大运河史诗图卷》展在中国国家博物馆开幕，世界文化遗产以穿越2500年、纵贯6400里的壮丽景象，“流淌”在国家级的艺术殿堂和公共文化空间里。...,https://baijiahao.baidu.com/s?id=1696967072388420220&wfr=spider&for=pc,"('4月14日', 720)"
18,中国国家博物馆,环球网,国家博物馆《复兴之路》展览——牢记初心使命 激发奋进力量(党旗...,2007年，《复兴之路》大型主题展览在中国人民革命军事博物馆举办。2011年，《复兴之路》作为国家博物馆改扩建工程竣工后推出的第一个基本陈列，与广大观众见面。2018年7月1日，《复兴之路·新时代部分》向观众正式展出。《复兴之路》《复兴...,https://baijiahao.baidu.com/s?id=1697159390321467457&wfr=spider&for=pc,"('4月16日', 720)"
19,中国国家博物馆,京报网,"“五一”全国景区客流有望超2019年同期,三星堆博物馆成“黑马”","受近期新出土文物获得的超高人气拉动,三星堆博物馆成为今年“五一”假期博物馆中的一匹“黑马”。此外,人气较高的中国国家博物馆线上预定也异常火爆,假期前三天的参观名额目前已经基本全部预约满额。 红色旅游人气大幅提升,也将成为今年“...",https://baijiahao.baidu.com/s?id=1698338210416302067&wfr=spider&for=pc,"('4月29日', 720)"
20,中国国家博物馆,人民资讯,"“歌咏党史,唱颂辉煌”主题音乐党课在国家博物馆开讲",4月17日下午，由中国国家博物馆、中央音乐学院、武警北京总队执勤一支队共同主办的“歌咏党史，唱颂辉煌”主题音乐党课在中国国家博物馆开讲。此次活动以“文物+音乐”的党课新模式，用歌声吟咏建党初心，展现了在中国共产党领导下中国社会...,https://baijiahao.baidu.com/s?id=1697444176752240568&wfr=spider&for=pc,"('4月19日', 720)"
21,中国国家博物馆,荔枝新闻,《中国大运河史诗图卷》展览 在中国国家博物馆开幕,今天（4月10日）上午，《中国大运河史诗图卷》展在中国国家博物馆开幕。《中国大运河史诗图卷》长135米、高3米。在这部史诗图卷中，既有历史的厚重底蕴，又有现代的青春光彩；既有标志性的水工建筑，又有代表性的风物遗存；既有静...,https://baijiahao.baidu.com/s?id=1696648629946632328&wfr=spider&for=pc,"('4月10日', 720)"
22,中国国家博物馆,金台资讯,“希望的田野——脱贫攻坚 共享小康全国摄影展”在中国国家博物馆...,人民网北京4月9日电 (韦衍行)4月9日，由中国文学艺术界联合会、中国国家博物馆和中国摄影家协会联合主办的“希望的田野——脱贫攻坚 共享小康全国摄影展”在中国国家博物馆正式开幕。为生动记录脱贫攻坚战这一伟大历史实践，广大摄影...,https://baijiahao.baidu.com/s?id=1696548276435531859&wfr=spider&for=pc,"('4月9日', 720)"
23,中国国家博物馆,澎湃在线,嘉定画家抗疫作品被中国国家博物馆收藏!全上海唯一一件入选……,"艺术家们刀笔纵横，以“艺”战“疫”，镌刻下一幅幅震撼人心的书画作品。日前，由嘉定画家张渭人在疫情期间创作的国画作品《抗疫中的快递小哥》被中国国家博物馆收藏，这也是唯一一件代表上海入馆的抗疫作品。
“作品是我在抗疫形势最...",https://baijiahao.baidu.com/s?id=1696143517624157744&wfr=spider&for=pc,"('4月4日', 720)"
24,中国国家博物馆,潇湘晨报,周口画家李振作品《在路上》被国家博物馆收藏,李振作品《在路上》日前，周口日报·周道客户端记者从周口市文联获悉，周口画家李振近日收到了中国国家博物馆的收藏证书，他创作的作品《在路上》亮相“众志成城——抗疫主题美术作品展”后，被国家博物馆永久收藏。2020年是人类历史上极...,https://baijiahao.baidu.com/s?id=1694732640455588223&wfr=spider&for=pc,"('3月20日', 1440)"
25,中国国家博物馆,光明网,【组图】“中国古代服饰文化展”亮相中国国家博物馆,2月6日，观展者在中国国家博物馆认真观赏“中国古代服饰文化展”展出文物。人民网 刘微摄 人民网北京2月7日电 2月6日，“中国古代服饰文化展”在中国国家博物馆启幕。本次展览内容丰富，展品中有数十件馆藏一级品，《陇西恭献王...,https://baijiahao.baidu.com/s?id=1691115920958386564&wfr=spider&for=pc,"('2月8日', 2160)"
26,中国国家博物馆,中国日报网,清代宫廷珍品在中国国家博物馆开展,由中国国家博物馆与沈阳故宫博物院联合主办“金玉满堂——沈阳故宫典藏清代宫廷珍品”开幕以来受到观众热捧。该展通过“皇权与秩序”“生活与习俗”“陈设与清供”“艺术与信仰”“文治与武备”五个单元，集中展示沈阳故宫博物院典藏的200余...,https://baijiahao.baidu.com/s?id=1688011138250570583&wfr=spider&for=pc,"('1月5日', 2880)"
27,中国国家博物馆,澎湃在线,“无价之土”要向公众展示了:月球样品已运抵中国国家博物馆,"22日在人民大会堂首次公开亮相的月壤已运抵中国国家博物馆,即将面向公众展出。届时大家可以近距离一睹月壤真容。约上你的小伙伴,一起去看这份“无价之土”吧!  话不多说,先上图!  月壤容器设计“玄机”重重  据月壤容器设计师...",https://baijiahao.baidu.com/s?id=1692468786224154954&wfr=spider&for=pc,"('unknown', 'unknown')"
28,中国国家博物馆,北青网,中国国家博物馆推出古代钱币常设展,近日，“中国古代钱币展”正在中国国家博物馆举行。展览从中国国家博物馆馆藏钱币中精选出1800余件珍品，辅以其他类别文物200余件，分为“泉林漫步”与“圜宇方圆”进行展示，系统呈现了中国古代钱币的历史演进及所承载的中国古代政治、经济...,https://baijiahao.baidu.com/s?id=1691859661437154405&wfr=spider&for=pc,"('2月16日', 2160)"
