,新闻好坏
0,Postive
1,Postive
2,Negetive
3,Postive
4,Postive
5,Postive
6,Postive
7,Postive
8,Postive
9,Postive
10,Postive
11,Postive
12,Postive
13,Postive
14,Postive
15,Postive
16,Postive
17,Postive
18,Postive
19,Postive
20,Postive
21,Postive
22,Postive
23,Postive
24,Postive
25,Postive
26,Postive
27,Postive
28,Postive
29,Postive
30,Postive
31,Negetive
32,Postive
33,Postive
34,Postive
35,Postive
36,Postive
37,Postive
38,Postive
39,Postive
40,Postive
41,Postive
42,Postive
43,Postive
44,Postive
45,Postive
46,Postive
47,Postive
48,Postive
49,Postive
50,Postive
51,Postive
52,Postive
53,Postive
54,Postive
55,Postive
56,Postive
57,Postive
58,Postive
59,Postive
60,Postive
61,Postive
62,Postive
63,Postive
64,Postive
65,Postive
66,Postive
67,Postive
68,Postive
69,Postive
70,Postive
71,Postive
72,Postive
73,Postive
74,Negetive
75,Postive
76,Postive
77,Postive
78,Postive
79,Postive
80,Postive
81,Postive
82,Postive
83,Postive
84,Postive
85,Postive
86,Postive
87,Postive
88,Postive
89,Postive
90,Postive
91,Postive
92,Postive
93,Postive
94,Postive
95,Postive
96,Postive
97,Postive
98,Postive
99,Postive
100,Postive
101,Postive
102,Postive
103,Postive
104,Postive
105,Postive
106,Postive
107,Postive
108,Postive
109,Postive
110,Postive
111,Postive
112,Postive
113,Postive
114,Postive
115,Postive
116,Postive
117,Negetive
118,Postive
119,Negetive
120,Postive
121,Postive
122,Postive
123,Postive
124,Postive
125,Postive
126,Postive
127,Postive
128,Postive
129,Negetive
130,Postive
131,Postive
132,Postive
133,Postive
134,Postive
135,Postive
136,Postive
137,Postive
138,Postive
139,Postive
140,Postive
141,Postive
142,Postive
143,Postive
144,Postive
145,Postive
146,Postive
147,Postive
148,Postive
149,Postive
150,Postive
151,Postive
152,Postive
153,Postive
154,Postive
155,Postive
156,Postive
157,Postive
158,Postive
159,Postive
160,Postive
161,Postive
162,Postive
163,Postive
164,Postive
165,Postive
166,Postive
167,Postive
